DISTRICT,SCHOOL,SCHOOL.LEVEL..x,X2009.2010.OVERALL.GRADE,X2009.2010.ENVIRONMENT.GRADE,X2009.2010.PERFORMANCE.GRADE,X2009.2010.PROGRESS.GRADE,X2008.2009.PROGRESS.REPORT.GRADE,X2010.2011.OVERALL.GRADE,X2010.2011.ENVIRONMENT.GRADE,X2010.2011.PERFORMANCE.GRADE,X2010.2011.PROGRESS.GRADE,X2009.2010.PROGRESS.REPORT.GRADE,BOROUGH
5,P.S. 036 Margaret Douglas,K-3,B,B,D,B,,C ,C ,D ,C ,B,Manhattan
5,Frederick Douglass Academy,High School,D,F,D,F,C,B ,D ,C ,B ,C,Manhattan
5,Columbia Secondary School,Middle,C,C,B,F,A,A ,B ,A ,A ,C,Manhattan
5,P.S. 030 Hernandez/Hughes,Elementary,A,A,C,A,A,D ,C ,F ,D ,A,Manhattan
5,I.S. 195 Roberto Clemente,Middle,D,D,D,D,B,,,,,D,Manhattan
5,Academy for Social Action: A College Board School,High School,,,,,,D ,D ,D ,F ,B,Manhattan
5,P.S. 197 John B. Russwurm,Elementary,B,A,C,B,A,F ,B ,D ,F ,B,Manhattan
5,Choir Academy of Harlem,Middle,C,C,D,C,A,B ,B ,C ,B ,C,Manhattan
5,P.S. 154 Harriet Tubman,Elementary,C,B,D,C,A,D ,B ,D ,D ,C,Manhattan
5,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,Middle,,,,,,B ,B ,C ,B ,,Manhattan
5,P.S. 194 Countee Cullen,Elementary,C,D,F,B,A,D ,F ,F ,C ,C,Manhattan
5,KAPPA IV,Middle,B,A,C,B,A,A ,A ,B ,B ,B,Manhattan
5,Academy for Social Action: A College Board School,Middle,B,B,D,B,C,D ,D ,D ,F ,B,Manhattan
5,Choir Academy of Harlem,High School,B,C,C,A,D,B ,B ,C ,B ,C,Manhattan
5,P.S. 175 Henry H Garnet,Elementary,B,B,C,A,C,B ,C ,C ,B ,B,Manhattan
5,Frederick Douglass Academy,Middle,C,F,C,B,A,B ,D ,C ,B ,C,Manhattan
5,Thurgood Marshall Academy Lower School,Elementary,C,A,D,C,B,B ,B ,C ,A ,C,Manhattan
5,P.S. 123 Mahalia Jackson,K-8,C,B,D,D,A,D ,C ,F ,C ,C,Manhattan
5,P.S. 125 Ralph Bunche,Elementary,B,C,F,B,A,C ,C ,D ,C ,B,Manhattan
5,P.S. 161 Pedro Albizu Campos,K-8,B,A,C,B,A,B ,A ,C ,C ,B,Manhattan
5,I.S. M286 Renaissance Military Leadership Academy,Middle,C,A,D,D,A,C ,A ,C ,C ,C,Manhattan
5,P.S. 133 Fred R Moore,Elementary,C,D,F,B,A,C ,F ,D ,C ,C,Manhattan
5,P.S. 200- The James Mccune Smith School,Elementary,B,D,D,B,A,C ,C ,C ,C ,B,Manhattan
5,P.S. 129 John H. Finley,K-8,B,B,D,B,A,C ,B ,C ,C ,B,Manhattan
6,P.S. 128 Audubon,Elementary,B,A,D,B,A,B ,A ,C ,C ,B,Manhattan
6,P.S. 004 Duke Ellington,Elementary,B,B,D,B,A,B ,B ,D ,B ,B,Manhattan
6,M.S. 319 - Maria Teresa,Middle,A,A,C,A,A,A ,A ,B ,A ,A,Manhattan
